PLAYER NAME,NATIONALITY,RUNS MADE TILL THAT YEAR 
SM Katich,Australia,0(till2001),44(till2004),541(till2005),1324(till2006),
BJ Haddin,Australia,13(till2001),96(till2004),158(till2005),374(till2006),693(till2007),774(till2008),1490(till2009),1877(till2010),2511(till2011),2692(till2013),2916(till2014),3122(till2015),
BA Williams,Australia,13(till2002),27(till2003),27(till2004),
RJ Campbell,Australia,54(till2002),
NM Hauritz,Australia,13(till2002),35(till2003),196(till2009),334(till2010),336(till2011),
SR Watson,Australia,236(till2002),288(till2003),316(till2004),454(till2005),734(till2006),1001(till2007),1263(till2008),2276(till2009),3047(till2010),4186(till2011),4563(till2012),5256(till2013),5421(till2014),5757(till2015),
MJ Clarke,Australia,327(till2003),942(till2004),1896(till2005),2625(till2006),3606(till2007),4077(till2008),4945(till2009),5722(till2010),6622(till2011),7278(till2012),7581(till2013),7762(till2014),7981(till2015),
MEK Hussey,Australia,17(till2004),604(till2005),1388(till2006),1835(till2007),2457(till2008),3623(till2009),4448(till2010),4862(till2011),5442(till2012),
JR Hopes,Australia,0(till2005),84(till2006),240(till2007),499(till2008),1000(till2009),1326(till2010),
CL White,Australia,0(till2005),157(till2007),236(till2008),918(till2009),1766(till2010),2037(till2011),2037(till2015),2072(till2018),
SR Clark,Australia,0(till2005),42(till2006),59(till2007),67(till2008),69(till2009),
BJ Hodge,Australia,72(till2005),79(till2006),575(till2007),
ML Lewis,Australia,0(till2005),4(till2006),
MG Johnson,Australia,0(till2005),19(till2006),54(till2007),92(till2008),381(till2009),500(till2010),708(till2011),720(till2012),822(till2013),917(till2014),951(till2015),
BR Dorey,Australia,2(till2006),
PA Jaques,Australia,121(till2006),125(till2007),
DJ Cullen,Australia,2(till2006),
MJ Cosgrove,Australia,112(till2006),
BW Hilfenhaus,Australia,0(till2007),29(till2009),29(till2012),
SW Tait,Australia,11(till2007),24(till2009),25(till2010),25(till2011),
AC Voges,Australia,16(till2007),167(till2009),312(till2010),392(till2011),870(till2013),
AA Noffke,Australia,0(till2008),
SE Marsh,Australia,333(till2008),726(till2009),1039(till2010),1274(till2011),1490(till2013),1667(till2014),1712(till2015),1858(till2016),1896(till2017),2312(till2018),2747(till2019),
L Ronchi,Australia,76(till2008),215(till2013),633(till2014),1057(till2015),1206(till2016),1397(till2017),
DJ Hussey,Australia,137(till2008),598(till2009),940(till2011),1668(till2012),1796(till2013),
B Geeves,Australia,0(till2008),10(till2009),
RJ Harris,Australia,7(till2009),43(till2010),48(till2012),
DA Warner,Australia,106(till2009),210(till2011),1050(till2012),1133(till2013),1539(till2014),2191(till2015),3579(till2016),4270(till2017),4343(till2018),
CJ Ferguson,Australia,599(till2009),599(till2010),663(till2011),
PM Siddle,Australia,12(till2009),21(till2010),31(till2019),
B Laughlin,Australia,1(till2009),
SM Harwood,Australia,0(till2009),
DE Bollinger,Australia,0(till2009),4(till2010),50(till2011),
MJ North,Australia,6(till2009),
DP Nannes,Australia,1(till2009),
TD Paine,Australia,447(till2009),725(till2010),737(till2011),890(till2018),
MC Henriques,Australia,18(till2009),32(till2013),36(till2015),46(till2016),81(till2017),
GA Manou,Australia,7(till2009),
CJ McKay,Australia,0(till2009),12(till2010),99(till2012),187(till2013),190(till2014),
SPD Smith,Australia,139(till2010),343(till2011),372(till2012),380(till2013),921(till2014),1726(till2015),2880(till2016),3329(till2017),3431(till2018),
JR Hazlewood,Australia,0(till2010),0(till2013),0(till2014),0(till2015),16(till2016),21(till2017),37(till2018),
JW Hastings,Australia,16(till2010),82(till2011),116(till2015),271(till2016),271(till2017),
MA Starc,Australia,0(till2010),43(till2012),122(till2013),161(till2014),163(till2015),208(till2016),259(till2017),280(till2018),
XJ Doherty,Australia,3(till2010),17(till2011),54(till2012),99(till2013),101(till2014),101(till2015),
JJ Krejza,Australia,13(till2011),
JL Pattinson,Australia,0(till2011),36(till2012),40(till2014),42(till2015),
PJ Cummins,Australia,17(till2011),21(till2012),22(till2014),34(till2015),34(till2016),128(till2017),166(till2018),183(till2019),
MR Marsh,Australia,8(till2011),39(till2013),360(till2014),596(till2015),1238(till2016),1242(till2017),1428(till2018),
DT Christian,Australia,250(till2012),273(till2014),
MS Wade,Australia,546(till2012),738(till2013),909(till2014),1075(till2015),1593(till2016),1777(till2017),
PJ Forrest,Australia,368(till2012),
NM Lyon,Australia,4(till2012),12(till2014),46(till2016),50(till2018),69(till2019),
GJ Bailey,Australia,441(till2012),1539(till2013),1945(till2014),2236(till2015),3044(till2016),
GJ Maxwell,Australia,124(till2012),511(till2013),891(till2014),1535(till2015),1763(till2016),2035(till2017),2242(till2018),2700(till2019),
AJ Finch,Australia,514(till2013),1304(till2014),1865(till2015),2520(till2016),2925(till2017),3418(till2018),4052(till2019),
PJ Hughes,Australia,660(till2013),826(till2014),
UT Khawaja,Australia,14(till2013),413(till2016),469(till2017),1238(till2019),
BCJ Cutting,Australia,27(till2013),53(till2014),
KW Richardson,Australia,0(till2013),11(till2014),30(till2016),30(till2017),45(till2018),50(till2019),
JP Faulkner,Australia,408(till2013),670(till2014),814(till2015),921(till2016),1032(till2017),
Fawad Ahmed,Australia,4(till2013),
NM Coulter-Nile,Australia,10(till2013),60(till2014),60(till2015),76(till2016),86(till2017),120(till2018),154(till2019),
SA Abbott,Australia,3(till2014),
GS Sandhu,Australia,0(till2015),
JA Burns,Australia,146(till2015),
AC Agar,Australia,5(till2015),14(till2017),144(till2018),
MP Stoinis,Australia,4(till2015),345(till2017),721(till2018),963(till2019),
SM Boland,Australia,9(till2016),
JS Paris,Australia,0(till2016),
A Zampa,Australia,50(till2016),56(till2017),89(till2018),99(till2019),
TM Head,Australia,416(till2016),934(till2017),1273(till2018),
DJ Worrall,Australia,6(till2016),
JM Mennie,Australia,1(till2016),
CP Tremain,Australia,23(till2016),
CA Lynn,Australia,16(till2017),75(till2018),
B Stanlake,Australia,1(till2017),4(till2018),4(till2019),
PSP Handscomb,Australia,149(till2017),628(till2019),
SD Heazlett,Australia,4(till2017),
HWR Cartwright,Australia,2(till2017),
AJ Tye,Australia,57(till2018),
AT Carey,Australia,199(till2018),429(till2019),
JA Richardson,Australia,21(till2018),68(till2019),
MG Neser,Australia,8(till2018),
DJM Short,Australia,83(till2018),
JP Behrendorff,Australia,7(till2019),
AJ Turner,Australia,125(till2019),
Gazi Ashraf,Bangladesh,10(till1986),33(till1988),59(till1990),
Gholam Nousher,Bangladesh,4(till1986),4(till1988),8(till1990),
Golam Faruq,Bangladesh,17(till1986),44(till1988),44(till1990),
Hafizur Rahman,Bangladesh,8(till1986),
Jahangir Shah,Bangladesh,1(till1986),16(till1988),16(till1990),
Minhajul Abedin,Bangladesh,46(till1986),89(till1988),149(till1990),196(till1995),240(till1997),313(till1998),453(till1999),
Nurul Abedin,Bangladesh,13(till1986),15(till1990),
Rafiqul Alam,Bangladesh,24(till1986),
Raqibul Hasan,Bangladesh,17(till1986),
Samiur Rahman,Bangladesh,4(till1986),
Shaheedur Rahman,Bangladesh,62(till1986),
Aminul Islam,Bangladesh,37(till1988),112(till1990),184(till1995),310(till1997),499(till1998),679(till1999),761(till2000),763(till2001),794(till2002),
Athar Ali Khan,Bangladesh,68(till1988),190(till1990),211(till1995),470(till1997),532(till1998),
Azhar Hossain,Bangladesh,14(till1988),96(till1990),
Harunur Rashid,Bangladesh,0(till1988),
Nasir Ahmed,Bangladesh,11(till1988),25(till1990),
Zahid Razzak,Bangladesh,6(till1988),14(till1990),
Akram Khan,Bangladesh,30(till1988),90(till1990),182(till1995),377(till1997),456(till1998),683(till1999),796(till2000),857(till2001),976(till2003),
